PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_NUMERIC
James Harden,By Year,2023-24,1610612746.0,LAC,2024-04-12T00:00:00,72.0,46.0,26.0,0.639,34.3,4.9,11.4,0.428,2.6,6.8,0.381,4.2,4.8,0.878,0.5,4.7,5.1,8.5,2.6,1.1,0.8,0.6,1.8,3.3,16.6,4.0,38.5,23.0,3.0,36.5,10.0,9.0,8.0,11.0,15.0,16.0,15.0,14.0,10.0,12.0,3.0,16.0,16.0,4.0,18.0,12.0,12.0,9.0,15.0,15.0,2.0,17.0,17.0,16.0,16.0,11.0,15.0,8.0,9.0,15.0,2024
James Harden,By Year,2022-23,1610612755.0,PHI,2023-04-06T00:00:00,58.0,39.0,19.0,0.672,36.8,6.4,14.5,0.441,2.8,7.2,0.385,5.4,6.2,0.867,0.7,5.4,6.1,10.7,3.4,1.2,0.5,0.9,1.9,4.6,21.0,4.8,46.2,36.0,5.0,44.0,14.0,14.0,12.0,5.0,6.0,13.0,13.0,8.0,8.0,9.0,2.0,14.0,14.0,8.0,11.0,7.0,8.0,3.0,14.0,13.0,11.0,12.0,16.0,14.0,14.0,6.0,11.0,3.0,5.0,11.0,2023
James Harden,By Year,2021-22,-1.0,TOT,2022-04-09T00:00:00,65.0,40.0,25.0,0.615,37.2,6.3,15.3,0.41,2.3,6.9,0.33,7.2,8.2,0.877,0.8,6.8,7.7,10.3,4.4,1.3,0.6,1.4,2.4,5.8,22.0,2.7,47.7,42.0,11.0,45.9,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2022
James Harden,By Year,2021-22,1610612755.0,PHI,2022-04-09T00:00:00,21.0,14.0,7.0,0.667,37.7,5.5,13.6,0.402,2.2,6.7,0.326,7.9,8.9,0.892,0.6,6.5,7.1,10.5,3.4,1.2,0.2,1.3,2.3,5.7,21.0,7.1,46.3,13.0,2.0,43.8,17.0,17.0,16.0,7.0,4.0,14.0,14.0,18.0,15.0,13.0,18.0,8.0,9.0,1.0,13.0,4.0,4.0,4.0,13.0,12.0,18.0,8.0,13.0,10.0,13.0,2.0,10.0,13.0,12.0,12.0,2022
James Harden,By Year,2021-22,1610612751.0,BKN,2022-02-02T00:00:00,44.0,26.0,18.0,0.591,37.0,6.6,16.0,0.414,2.3,7.0,0.332,6.9,8.0,0.869,1.0,7.0,8.0,10.2,4.8,1.3,0.7,1.5,2.4,5.8,22.5,0.5,48.4,29.0,9.0,46.9,15.0,16.0,13.0,15.0,5.0,12.0,12.0,15.0,13.0,10.0,17.0,10.0,10.0,6.0,3.0,2.0,3.0,6.0,3.0,11.0,7.0,1.0,10.0,9.0,12.0,17.0,8.0,6.0,3.0,8.0,2022
James Harden,By Year,2020-21,-1.0,TOT,2021-05-15T00:00:00,44.0,31.0,13.0,0.705,36.6,7.8,16.7,0.466,2.8,7.6,0.362,6.3,7.3,0.861,0.8,7.1,7.9,10.8,4.0,1.2,0.8,1.1,2.3,5.1,24.6,2.3,52.1,32.0,12.0,50.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2021
James Harden,By Year,2020-21,1610612751.0,BKN,2021-05-15T00:00:00,36.0,29.0,7.0,0.806,36.6,7.8,16.6,0.471,2.7,7.3,0.366,6.3,7.3,0.856,0.8,7.7,8.5,10.9,4.0,1.3,0.8,1.0,2.4,5.2,24.6,3.9,53.3,28.0,12.0,50.7,16.0,15.0,16.0,2.0,9.0,7.0,9.0,2.0,9.0,8.0,10.0,13.0,13.0,13.0,7.0,1.0,1.0,2.0,9.0,10.0,3.0,11.0,11.0,11.0,10.0,12.0,4.0,7.0,2.0,5.0,2021
James Harden,By Year,2020-21,1610612745.0,HOU,2021-01-12T00:00:00,8.0,2.0,6.0,0.25,36.3,7.5,16.9,0.444,3.1,9.0,0.347,6.6,7.5,0.883,0.6,4.5,5.1,10.4,4.3,0.9,0.8,1.4,1.8,4.8,24.8,-4.9,47.1,4.0,0.0,46.6,18.0,18.0,18.0,18.0,12.0,9.0,8.0,5.0,5.0,5.0,15.0,11.0,11.0,2.0,12.0,13.0,12.0,5.0,8.0,18.0,3.0,3.0,18.0,12.0,9.0,18.0,9.0,15.0,15.0,9.0,2021
James Harden,By Year,2019-20,1610612745.0,HOU,2020-08-14T00:00:00,68.0,43.0,25.0,0.632,36.5,9.9,22.3,0.444,4.4,12.4,0.355,10.2,11.8,0.865,1.0,5.5,6.6,7.5,4.5,1.8,0.9,1.4,3.3,7.7,34.3,4.2,57.1,22.0,4.0,58.3,12.0,11.0,9.0,13.0,10.0,2.0,2.0,6.0,2.0,2.0,12.0,1.0,1.0,10.0,2.0,6.0,6.0,10.0,5.0,3.0,1.0,6.0,1.0,1.0,2.0,9.0,2.0,10.0,6.0,2.0,2020
James Harden,,2024-25,,,,,41.99,23.88,,,,,0.41,,,0.37,,,,,,5.62,10.13,2.59,0.95,0.47,,,,11.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
